timestamp,title,url
09/07/2024 06:05 GMT+7,"Tin tức sáng 9-7: Thêm ca dương tính bạch hầu; Hà Nội tăng sốt xuất huyết, ho gà, viêm não"',https://tuoitre.vn/tin-tuc-sang-9-7-them-ca-duong-tinh-bach-hau-ha-noi-tang-sot-xuat-huyet-ho-ga-viem-nao-20240708230214181.htm
08/07/2024 06:39 GMT+7,"Tin tức thế giới 8-7: Hezbollah tấn công trên không lớn nhất vào Israel; Thủ tướng Pháp từ chức"',https://tuoitre.vn/tin-tuc-the-gioi-8-7-hezbollah-tan-cong-tren-khong-lon-nhat-vao-israel-thu-tuong-phap-tu-chuc-20240708031952135.htm
08/07/2024 07:33 GMT+7,"Tin tức thời tiết hôm nay 8.7.2024: Miền Bắc nắng mưa thất thường, miền Nam mưa lớn"',https://thanhnien.vn/tin-tuc-thoi-tiet-hom-nay-872024-mien-bac-nang-mua-that-thuong-mien-nam-mua-lon-185240708070858251.htm
08/07/2024 11:41 GMT+7,"Rò rỉ thông tin về Apple Watch Series X"',https://thanhnien.vn/ro-ri-thong-tin-ve-apple-watch-series-x-185240708093728038.htm
08/07/2024 09:41 GMT+7,"Hơn 10 tỉ mật khẩu bị tin tặc phát tán lên web đen"',https://thanhnien.vn/hon-10-ti-mat-khau-bi-tin-tac-phat-tan-len-web-den-185240708092045189.htm
10/07/2024 04:07 GMT+7,"Tin tức đặc biệt trên báo in Thanh Niên 10.7.2024"',https://thanhnien.vn/tin-tuc-dac-biet-tren-bao-in-thanh-nien-1072024-185240709231108611.htm
10/07/2024 10:31 GMT+7,"Tin tức giá xe: Volkswagen Teramont X giảm tới 130 triệu, rẻ hơn hẳn Ford Explorer"',https://tuoitre.vn/tin-tuc-gia-xe-volkswagen-teramont-x-giam-toi-130-trieu-re-hon-han-ford-explorer-20240710081224919.htm
10/07/2024 06:29 GMT+7,"Tin tức thời tiết hôm nay 10.7.2024: Miền Bắc nơi nắng nóng, nơi mưa giông"',https://thanhnien.vn/tin-tuc-thoi-tiet-hom-nay-1072024-mien-bac-noi-nang-nong-noi-mua-giong-185240710062035432.htm
10/07/2024 00:10 GMT+7,"Ngày mới với tin tức sức khỏe: Chế độ ăn giúp người tuổi 50 phòng tiểu đường"',https://thanhnien.vn/ngay-moi-voi-tin-tuc-suc-khoe-che-do-an-giup-tuoi-50-phong-benh-tieu-duong-185240709224521512.htm
10/07/2024 04:25 GMT+7,"Đội tuyển Hà Lan gặp sự cố khó tin, UEFA tức tốc điều động cảnh sát hộ tống"',https://thanhnien.vn/doi-tuyen-ha-lan-gap-su-co-kho-tin-uefa-tuc-toc-dieu-dong-canh-sat-ho-tong-185240710022728136.htm
10/07/2024 06:21 GMT+7,"Nhà báo Pháp: HLV Deschamps nên ra đi"',https://tuoitre.vn/nha-bao-phap-hlv-deschamps-nen-ra-di-20240710055731143.htm
11/07/2024 04:13 GMT+7,"Tin tức đặc biệt trên báo in Thanh Niên 11.7.2024"',https://thanhnien.vn/tin-tuc-dac-biet-tren-bao-in-thanh-nien-1172024-185240710234725732.htm
10/07/2024 19:00 GMT+7,"Tin tức giá xe: MG ZS có 'đáy' mới tại đại lý, rẻ hơn SUV hạng A"',https://tuoitre.vn/tin-tuc-gia-xe-mg-zs-co-day-moi-tai-dai-ly-re-hon-suv-hang-a-20240710150332033.htm
11/07/2024 06:01 GMT+7,"Tin tức thế giới 11-7: Hạ viện Mỹ thẩm tra sức khỏe ông Biden; NATO chuyển F-16 tới Ukraine"',https://tuoitre.vn/tin-tuc-the-gioi-11-7-ha-vien-my-tham-tra-suc-khoe-ong-biden-nato-chuyen-f-16-toi-ukraine-20240711042227659.htm
